iter	Passed	Remaining
0	686	685754
1	949	473781
2	1270	422228
3	1578	393109
4	1860	370303
5	2140	354640
6	2518	357297
7	2889	358345
8	3215	354049
9	3666	362987
10	4111	369643
11	4543	374112
12	4946	375526
13	5328	375249
14	5681	373082
15	6096	374928
16	6487	375108
17	6916	377329
18	7344	379225
19	7753	379918
20	8107	377983
21	8427	374638
22	8792	373491
23	9101	370114
24	9476	369583
25	9973	373634
26	10350	373008
27	10769	373849
28	11155	373512
29	11534	372949
30	11955	373716
31	12263	370984
32	12638	370333
33	12977	368712
34	13293	366533
35	13652	365595
36	13998	364352
37	14308	362236
38	14670	361490
39	14995	359894
40	15331	358614
41	15672	357479
42	15955	355110
43	16236	352769
44	16525	350697
45	16842	349307
46	17141	347574
47	17430	345712
48	17721	343938
49	18055	343047
50	18390	342213
51	18682	340601
52	18966	338883
53	19242	337105
54	19540	335733
55	19834	334354
56	20119	332853
57	20439	331965
58	20750	330946
59	21050	329792
60	21353	328708
61	21632	327271
62	21912	325907
63	22219	324961
64	22531	324106
65	22851	323377
66	23169	322637
67	23488	321931
68	23778	320831
69	24067	319752
70	24395	319197
71	24701	318371
72	24955	316900
73	25226	315677
74	25476	314216
75	25750	313069
76	26092	312773
77	26370	311715
78	26620	310349
79	26890	309243
80	27139	307917
81	27430	307090
82	27718	306240
83	27999	305331
84	28263	304251
85	28524	303159
86	28779	302017
87	29024	300801
88	29298	299897
89	29556	298845
90	29826	297941
91	30087	296949
92	30412	296602
93	30672	295634
94	30938	294728
95	31195	293753
96	31461	292880
97	31749	292229
98	32058	291768
99	32379	291415
100	32659	290705
101	32977	290333
102	33271	289749
103	33554	289082
104	33820	288277
105	34123	287796
106	34426	287318
107	34715	286721
108	35008	286174
109	35286	285502
110	35650	285522
111	35974	285223
112	36281	284795
113	36593	284401
114	36875	283778
115	37176	283312
116	37434	282521
117	37731	282027
118	38039	281623
119	38326	281062
120	38650	280773
121	38954	280346
122	39265	279965
123	39528	279250
124	39801	278608
125	40052	277822
126	40314	277123
127	40614	276689
128	40912	276238
129	41214	275817
130	41490	275230
131	41746	274514
132	42010	273857
133	42298	273364
134	42589	272888
135	42878	272407
136	43159	271872
137	43434	271311
138	43719	270809
139	44006	270325
140	44296	269863
141	44585	269396
142	44894	269053
143	45168	268504
144	45465	268091
145	45746	267588
146	46018	267030
147	46303	266559
148	46598	266143
149	46913	265841
150	47212	265453
151	47486	264923
152	47773	264472
153	48041	263917
154	48295	263289
155	48604	262963
156	48912	262634
157	49207	262234
158	49577	262229
159	50021	262613
160	50436	262832
161	50800	262782
162	51143	262618
163	51527	262666
164	51903	262665
165	52273	262628
166	52619	262466
167	52981	262383
168	53294	262055
169	53622	261803
170	53960	261598
171	54321	261501
172	54629	261146
173	54909	260661
174	55206	260261
175	55486	259779
176	55750	259222
177	56013	258667
178	56301	258230
179	56585	257776
180	56863	257298
181	57146	256843
182	57435	256420
183	57700	255887
184	57975	255405
185	58259	254963
186	58533	254478
187	58812	254018
188	59089	253551
189	59373	253118
190	59642	252621
191	59935	252227
192	60217	251791
193	60544	251538
194	60814	251053
195	61097	250623
196	61377	250181
197	61666	249778
198	61982	249485
199	62284	249138
200	62610	248886
201	62959	248721
202	63315	248582
203	63677	248467
204	63957	248029
205	64293	247811
206	64643	247645
207	64969	247383
208	65245	246933
209	65528	246512
210	65804	246067
211	66082	245626
212	66358	245182
213	66619	244686
214	66895	244245
215	67181	243843
216	67449	243376
217	67722	242929
218	67992	242475
219	68282	242091
220	68560	241667
221	68834	241231
222	69127	240861
223	69402	240429
224	69688	240037
225	69964	239614
226	70291	239362
227	70634	239165
228	70967	238935
229	71422	239109
230	71744	238838
231	72015	238396
232	72501	238663
233	72772	238220
234	73145	238111
235	73489	237906
236	73853	237764
237	74160	237439
238	74592	237509
239	74965	237390
240	75259	237020
241	75646	236943
242	75937	236561
243	76245	236235
244	76512	235784
245	76828	235483
246	77195	235337
247	77723	235676
248	78106	235572
249	78488	235466
250	78825	235221
251	79106	234807
252	79407	234456
253	79678	234016
254	79966	233628
255	80248	233221
256	80510	232761
257	80823	232446
258	81119	232083
259	81436	231780
260	81710	231357
261	81997	230970
262	82273	230552
263	82623	230344
264	82913	229968
265	83181	229530
266	83451	229100
267	83696	228604
268	83938	228099
269	84222	227713
270	84488	227276
271	84773	226892
272	85031	226440
273	85305	226027
274	85645	225793
275	85922	225390
276	86211	225021
277	86472	224580
278	86761	224211
279	87033	223801
280	87303	223384
281	87580	222989
282	87855	222586
283	88113	222145
284	88365	221689
285	88659	221338
286	88969	221028
287	89237	220615
288	89534	220274
289	89791	219835
290	90085	219486
291	90350	219069
292	90646	218726
293	90911	218310
294	91192	217935
295	91486	217590
296	91738	217144
297	92037	216812
298	92441	216726
299	92768	216460
300	93036	216053
301	93321	215691
302	93594	215298
303	93903	214988
304	94176	214599
305	94435	214176
306	94699	213767
307	94981	213400
308	95232	212962
309	95486	212535
310	95737	212100
311	95979	211647
312	96237	211230
313	96565	210967
314	96933	210792
315	97227	210455
316	97497	210066
317	97793	209733
318	98076	209373
319	98337	208966
320	98584	208531
321	98844	208127
322	99110	207732
323	99446	207488
324	99791	207258
325	100086	206928
326	100353	206538
327	100602	206112
328	100883	205752
329	101251	205571
330	101629	205407
331	101934	205097
332	102188	204683
333	102458	204303
334	102749	203965
335	103011	203570
336	103273	203175
337	103547	202806
338	103792	202380
339	104041	201963
340	104321	201605
341	104578	201206
342	104850	200835
343	105102	200428
344	105353	200019
345	105610	199621
346	105864	199220
347	106119	198822
348	106379	198433
349	106678	198117
350	106952	197755
351	107197	197340
352	107446	196933
353	107749	196627
354	108033	196285
355	108344	195994
356	108632	195660
357	108913	195314
358	109176	194936
359	109438	194557
360	109688	194157
361	109942	193766
362	110195	193373
363	110479	193035
364	110737	192652
365	111028	192328
366	111286	191945
367	111585	191636
368	111854	191274
369	112124	190915
370	112407	190578
371	112672	190209
372	112972	189903
373	113273	189597
374	113634	189391
375	113908	189038
376	114189	188699
377	114484	188384
378	114812	188122
379	115071	187748
380	115376	187449
381	115699	187177
382	116082	187004
383	116380	186693
384	116647	186333
385	116890	185934
386	117182	185614
387	117460	185272
388	117784	185003
389	118072	184677
390	118402	184416
391	118701	184107
392	118995	183792
393	119293	183481
394	119570	183139
395	119863	182822
396	120110	182434
397	120372	182071
398	120683	181781
399	120979	181469
400	121340	181254
401	121671	180993
402	121972	180689
403	122253	180353
404	122574	180079
405	122853	179741
406	123131	179402
407	123500	179196
408	123833	178937
409	124222	178759
410	124510	178435
411	124830	178156
412	125115	177827
413	125419	177526
414	125700	177192
415	125974	176848
416	126266	176531
417	126608	176282
418	126870	175922
419	127202	175660
420	127463	175299
421	127739	174960
422	128044	174661
423	128361	174377
424	128634	174034
425	128960	173764
426	129294	173503
427	129569	173162
428	129865	172851
429	130141	172513
430	130475	172251
431	130885	172090
432	131193	171793
433	131462	171445
434	131777	171159
435	132077	170852
436	132464	170658
437	132783	170375
438	133110	170102
439	133594	170029
440	133939	169778
441	134240	169471
442	134508	169122
443	134796	168799
444	135089	168482
445	135390	168175
446	135721	167906
447	136024	167601
448	136332	167302
449	136599	166955
450	136884	166629
451	137157	166287
